name,directory,image,iframe
Clicker Heroes,clickerheroes,https://selenite.cc/resources/semag/clickerheroes/clicker-heroes.png,https://selenite.cc/resources/semag/clickerheroes/index.html
Jetpack Joyride,jetpackjoyride,https://selenite.cc/resources/semag/jetpackjoyride/logo.jpeg,https://selenite.cc/resources/semag/jetpackjoyride/index.html
Fruit Ninja,fruitninja,https://selenite.cc/resources/semag/fruitninja/FruitNinjaTeaser.jpg,https://selenite.cc/resources/semag/fruitninja/index.html
Tron,tron,https://selenite.cc/resources/semag/tron/icon.png,https://selenite.cc/resources/semag/tron/index.html
Thirty Dollar Website,thirtydollarwebsite,https://selenite.cc/resources/semag/thirtydollarwebsite/assets/🗿.png,https://selenite.cc/resources/semag/thirtydollarwebsite/index.html
n-gon,ngon,https://selenite.cc/resources/semag/ngon/favicon.ico,https://selenite.cc/resources/semag/ngon/index.html
Subway Surfers,subway-surfers-ny,https://selenite.cc/resources/semag/subway-surfers-ny/NewYorkIcon.png,https://selenite.cc/resources/semag/subway-surfers-ny/index.html
Madalin Cars,madalincars,https://selenite.cc/resources/semag/madalincars/icon.png,https://selenite.cc/resources/semag/madalincars/index.html
Run 3,run3,https://selenite.cc/resources/semag/run3/icon.jpeg,https://selenite.cc/resources/semag/run3/index.html
Run,run,https://selenite.cc/resources/semag/run/icon.jpeg,https://selenite.cc/resources/semag/run/index.html
Super Smash Flash,supersmashflash,https://selenite.cc/resources/semag/supersmashflash/ssf.jpg,https://selenite.cc/resources/semag/supersmashflash/index.html
Stickman Climb,stickmanclimb,https://selenite.cc/resources/semag/stickmanclimb/icon.avif,https://selenite.cc/resources/semag/stickmanclimb/index.html
Getaway Shooter,getawayshooter,https://selenite.cc/resources/semag/getawayshooter/Untitled.jpeg,https://selenite.cc/resources/semag/getawayshooter/index.html
Riddle School,riddleschool,https://selenite.cc/resources/semag/riddleschool/RiddleSchool2.png,https://selenite.cc/resources/semag/riddleschool/index.html
Riddle School 2,riddleschool2,https://selenite.cc/resources/semag/riddleschool2/icon.png,https://selenite.cc/resources/semag/riddleschool2/index.html
Riddle School 3,riddleschool3,https://selenite.cc/resources/semag/riddleschool3/riddle-school-3.webp,https://selenite.cc/resources/semag/riddleschool3/index.html
Riddle School 4,riddleschool4,https://selenite.cc/resources/semag/riddleschool4/Untitled.jpeg,https://selenite.cc/resources/semag/riddleschool4/index.html
Riddle School 5,riddleschool5,https://selenite.cc/resources/semag/riddleschool5/Untitled.jpeg,https://selenite.cc/resources/semag/riddleschool5/index.html
Riddle Transfer,riddleschooltransfer,https://selenite.cc/resources/semag/riddleschooltransfer/Untitled.jpeg,https://selenite.cc/resources/semag/riddleschooltransfer/index.html
Riddle Transfer 2,riddleschooltransfer2,https://selenite.cc/resources/semag/riddleschooltransfer2/aUntitled.jpeg,https://selenite.cc/resources/semag/riddleschooltransfer2/index.html
Zombocalypse,zombocalypse,https://selenite.cc/resources/semag/zombocalypse/zombocalypse-2.webp,https://selenite.cc/resources/semag/zombocalypse/index.html
Papas Burgeria,papasburgeria,https://selenite.cc/resources/semag/papasburgeria/images.jpeg,https://selenite.cc/resources/semag/papasburgeria/index.html
Duck Life 5,ducklife5,https://selenite.cc/resources/semag/ducklife5/ducklife5.png,https://selenite.cc/resources/semag/ducklife5/index.html
Duck Life 6,ducklife6,https://selenite.cc/resources/semag/ducklife6/ducklife5.png,https://selenite.cc/resources/semag/ducklife6/index.html
webretro,webretro,https://selenite.cc/resources/semag/webretro/assets/icons/icon204.png,https://selenite.cc/resources/semag/webretro/index.html
osu!mania (Scratch),osumania,https://selenite.cc/resources/semag/osumania/mania.jpg,https://selenite.cc/resources/semag/osumania/index.html
Five Nights at Freddy's 2,fnaf2,https://selenite.cc/resources/semag/fnaf2/project/splash.webp,https://selenite.cc/resources/semag/fnaf2/index.html
Five Nights at Freddy's 3,fnaf3,https://selenite.cc/resources/semag/fnaf3/project/splash.webp,https://selenite.cc/resources/semag/fnaf3/index.html
Five Nights at Freddy's 4,fnaf4,https://selenite.cc/resources/semag/fnaf4/project/splash.webp,https://selenite.cc/resources/semag/fnaf4/index.html
Temple Run 2,templerun2,https://selenite.cc/resources/semag/templerun2/img/icons/icon-128x128.png,https://selenite.cc/resources/semag/templerun2/index.html
Happy Wheels,happywheels,https://selenite.cc/resources/semag/happywheels/Untitled.jpeg,https://selenite.cc/resources/semag/happywheels/index.html
Fireboy & Watergirl 2,fireboywatergirl2,https://selenite.cc/resources/semag/fireboywatergirl2/Untitled.jpeg,https://selenite.cc/resources/semag/fireboywatergirl2/index.html
Fireboy & Watergirl 3,fireboywatergirl3,https://selenite.cc/resources/semag/fireboywatergirl3/icon.png,https://selenite.cc/resources/semag/fireboywatergirl3/index.html
Fireboy & Watergirl 4,fireboywatergirl4,https://selenite.cc/resources/semag/fireboywatergirl4/300.jpg,https://selenite.cc/resources/semag/fireboywatergirl4/index.html
Rise Higher,risehigher,https://selenite.cc/resources/semag/risehigher/media/graphics/promo/Icons/128x128.png,https://selenite.cc/resources/semag/risehigher/index.html
Hextris,hextris,https://selenite.cc/resources/semag/hextris/images/icons/apple-touch-152.png,https://selenite.cc/resources/semag/hextris/index.html
Sprinter,sprinter,https://selenite.cc/resources/semag/sprinter/icon.jpeg,https://selenite.cc/resources/semag/sprinter/index.html
Amazing Rope Police,amazing-rope-police,https://selenite.cc/resources/semag/amazing-rope-police/splash.jpeg,https://selenite.cc/resources/semag/amazing-rope-police/index.html
Geometry Rash,geometryrash,https://selenite.cc/resources/semag/geometryrash/icon-114.png,https://selenite.cc/resources/semag/geometryrash/index.html
Bloons Tower Defense,btd,https://selenite.cc/resources/semag/btd/logo.webp,https://selenite.cc/resources/semag/btd/index.html
Bloons Tower Defense 2,btd2,https://selenite.cc/resources/semag/btd2/logo.webp,https://selenite.cc/resources/semag/btd2/index.html
